wfName,taskName,rank
nfcore/chipseq:1.2.2,MACS2_QC,9
nfcore/chipseq:1.2.2,MACS2_QC,5
nfcore/chipseq:1.2.2,MACS2_QC,6
nfcore/chipseq:1.2.2,MACS2_QC,21
nfcore/chipseq:1.2.2,MACS2_QC,16
nfcore/chipseq:1.2.2,MACS2_QC,19
nfcore/chipseq:1.2.2,MACS2_QC,22
nfcore/chipseq:1.2.2,MACS2_QC,18
nfcore/chipseq:1.2.2,MACS2_QC,20
nfcore/chipseq:1.2.2,MACS2_QC,17
nfcore/chipseq:1.2.2,MACS2_QC,14
nfcore/chipseq:1.2.2,MACS2_QC,15
nfcore/chipseq:1.2.2,MACS2_QC,25
nfcore/chipseq:1.2.2,MACS2_QC,23
nfcore/chipseq:1.2.2,MACS2_QC,27
nfcore/chipseq:1.2.2,MACS2_QC,24
nfcore/chipseq:1.2.2,MACS2_QC,26
nfcore/chipseq:1.2.2,MERGED_BAM,3
nfcore/chipseq:1.2.2,MERGED_BAM,4
nfcore/chipseq:1.2.2,MERGED_BAM,2
nfcore/chipseq:1.2.2,MERGED_BAM,1
nfcore/chipseq:1.2.2,MERGED_BAM,17
nfcore/chipseq:1.2.2,MERGED_BAM,18
nfcore/chipseq:1.2.2,MERGED_BAM,19
nfcore/chipseq:1.2.2,MERGED_BAM,22
nfcore/chipseq:1.2.2,MERGED_BAM,20
nfcore/chipseq:1.2.2,MERGED_BAM,21
nfcore/chipseq:1.2.2,MERGED_BAM,15
nfcore/chipseq:1.2.2,MERGED_BAM,14
nfcore/chipseq:1.2.2,MERGED_BAM,16
nfcore/chipseq:1.2.2,MERGED_BAM,9
nfcore/chipseq:1.2.2,MERGED_BAM,8
nfcore/chipseq:1.2.2,MERGED_BAM,10
nfcore/chipseq:1.2.2,MERGED_BAM,13
nfcore/chipseq:1.2.2,MERGED_BAM,11
nfcore/chipseq:1.2.2,MERGED_BAM,12
nfcore/chipseq:1.2.2,MERGED_BAM,5
nfcore/chipseq:1.2.2,MERGED_BAM,6
nfcore/chipseq:1.2.2,MERGED_BAM,7
nfcore/chipseq:1.2.2,MERGED_BAM,24
nfcore/chipseq:1.2.2,MERGED_BAM,23
nfcore/chipseq:1.2.2,MERGED_BAM,25
nfcore/chipseq:1.2.2,MERGED_BAM,26
nfcore/chipseq:1.2.2,MERGED_BAM,27
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,1
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,2
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,4
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,3
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,9
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,10
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,8
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,13
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,12
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,11
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,6
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,7
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,5
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,18
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,19
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,17
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,22
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,21
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,20
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,14
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,16
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,15
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,24
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,23
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,27
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,26
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,25
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,1
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,2
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,4
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,3
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,19
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,17
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,18
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,22
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,20
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,21
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,16
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,14
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,15
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,10
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,8
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,9
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,13
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,11
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,12
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,7
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,5
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,6
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,24
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,23
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,27
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,25
nfcore/chipseq:1.2.2,MERGED_BAM_REMOVE_ORPHAN,26
nfcore/chipseq:1.2.2,MULTIQC,1
nfcore/chipseq:1.2.2,MULTIQC,2
nfcore/chipseq:1.2.2,MULTIQC,3
nfcore/chipseq:1.2.2,MULTIQC,4
nfcore/chipseq:1.2.2,MULTIQC,17
nfcore/chipseq:1.2.2,MULTIQC,18
nfcore/chipseq:1.2.2,MULTIQC,19
nfcore/chipseq:1.2.2,MULTIQC,20
nfcore/chipseq:1.2.2,MULTIQC,22
nfcore/chipseq:1.2.2,MULTIQC,21
nfcore/chipseq:1.2.2,MULTIQC,14
nfcore/chipseq:1.2.2,MULTIQC,15
nfcore/chipseq:1.2.2,MULTIQC,16
nfcore/chipseq:1.2.2,MULTIQC,8
nfcore/chipseq:1.2.2,MULTIQC,10
nfcore/chipseq:1.2.2,MULTIQC,9
nfcore/chipseq:1.2.2,MULTIQC,11
nfcore/chipseq:1.2.2,MULTIQC,13
nfcore/chipseq:1.2.2,MULTIQC,12
nfcore/chipseq:1.2.2,MULTIQC,5
nfcore/chipseq:1.2.2,MULTIQC,6
nfcore/chipseq:1.2.2,MULTIQC,7
nfcore/chipseq:1.2.2,MULTIQC,23
nfcore/chipseq:1.2.2,MULTIQC,24
nfcore/chipseq:1.2.2,MULTIQC,25
nfcore/chipseq:1.2.2,MULTIQC,26
nfcore/chipseq:1.2.2,MULTIQC,27
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,2
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,4
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,3
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,1
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,11
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,8
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,9
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,13
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,10
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,12
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,7
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,5
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,6
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,19
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,17
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,18
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,22
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,20
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,21
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,16
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,14
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,15
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,24
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,23
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,27
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,25
nfcore/chipseq:1.2.2,PHANTOMPEAKQUALTOOLS,26
nfcore/chipseq:1.2.2,PICARD_METRICS,1
nfcore/chipseq:1.2.2,PICARD_METRICS,4
nfcore/chipseq:1.2.2,PICARD_METRICS,3
nfcore/chipseq:1.2.2,PICARD_METRICS,2
nfcore/chipseq:1.2.2,PICARD_METRICS,10
nfcore/chipseq:1.2.2,PICARD_METRICS,8
nfcore/chipseq:1.2.2,PICARD_METRICS,9
nfcore/chipseq:1.2.2,PICARD_METRICS,13
nfcore/chipseq:1.2.2,PICARD_METRICS,12
nfcore/chipseq:1.2.2,PICARD_METRICS,11
nfcore/chipseq:1.2.2,PICARD_METRICS,7
nfcore/chipseq:1.2.2,PICARD_METRICS,5
nfcore/chipseq:1.2.2,PICARD_METRICS,6
nfcore/chipseq:1.2.2,PICARD_METRICS,19
nfcore/chipseq:1.2.2,PICARD_METRICS,17
nfcore/chipseq:1.2.2,PICARD_METRICS,18
nfcore/chipseq:1.2.2,PICARD_METRICS,22
nfcore/chipseq:1.2.2,PICARD_METRICS,21
nfcore/chipseq:1.2.2,PICARD_METRICS,20
nfcore/chipseq:1.2.2,PICARD_METRICS,16
nfcore/chipseq:1.2.2,PICARD_METRICS,14
nfcore/chipseq:1.2.2,PICARD_METRICS,15
nfcore/chipseq:1.2.2,PICARD_METRICS,24
nfcore/chipseq:1.2.2,PICARD_METRICS,23
nfcore/chipseq:1.2.2,PICARD_METRICS,27
nfcore/chipseq:1.2.2,PICARD_METRICS,26
nfcore/chipseq:1.2.2,PICARD_METRICS,25
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,3
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,4
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,2
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,1
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,11
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,8
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,10
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,13
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,9
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,12
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,7
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,5
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,6
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,20
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,16
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,19
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,22
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,18
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,21
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,17
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,14
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,15
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,25
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,23
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,27
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,24
nfcore/chipseq:1.2.2,PLOTFINGERPRINT,26
nfcore/chipseq:1.2.2,PLOTPROFILE,1
nfcore/chipseq:1.2.2,PLOTPROFILE,2
nfcore/chipseq:1.2.2,PLOTPROFILE,4
nfcore/chipseq:1.2.2,PLOTPROFILE,3
nfcore/chipseq:1.2.2,PLOTPROFILE,17
nfcore/chipseq:1.2.2,PLOTPROFILE,19
nfcore/chipseq:1.2.2,PLOTPROFILE,18
nfcore/chipseq:1.2.2,PLOTPROFILE,21
nfcore/chipseq:1.2.2,PLOTPROFILE,20
nfcore/chipseq:1.2.2,PLOTPROFILE,22
nfcore/chipseq:1.2.2,PLOTPROFILE,14
nfcore/chipseq:1.2.2,PLOTPROFILE,16
nfcore/chipseq:1.2.2,PLOTPROFILE,15
nfcore/chipseq:1.2.2,PLOTPROFILE,8
nfcore/chipseq:1.2.2,PLOTPROFILE,10
nfcore/chipseq:1.2.2,PLOTPROFILE,9
nfcore/chipseq:1.2.2,PLOTPROFILE,12
